"Country","Category","Flow name","Flow code","Flow unit","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Australia","Metal ores","Exports","EXP","t","63901040","60619681","59236417","77166435","88186984","84313463","87024820","84304153","81146651","83805137","86468936","88831584","89929523","88527244","101600865","101715613","96471645","95965219","113045326","122316248","116851315","132433840","126423895","135655588","145230057","157305284","156574532","177171744","167525547","168997750","188423524","191373391","200460626","224973745","253151504","288688334","300651918","324302036","371773579","428073013","469960142","511222534","571145347","665478516","810047179","866875918","910499305","873245828","885006516","895219721","900390798","943206046","967128726","996585468","1027887415"
"Australia","Metal ores","Imports","IMP","t","931214","972920","527280","922963","1341817","555562","658563","709209","730499","695838","769581","1002459","1316098","798132","1130861","1020033","1130478","1432754","1832888","3496310","3844333","4128545","4857408","4743280","5558898","6081260","5645879","7485843","6109135","6497931","6285624","6613939","7331179","7718164","8014700","9167843","9034864","8569945","9465815","7493900","10242583","9472355","9357330","9046897","8581721","8514803","5677869","3625144","4247608","3924419","3791838","3921165","4028125","4062603","4102292"
"Australia","Metal ores","Material Footprint (RMC)","MF","t","35995871","39608104","42374466","51086752","54860824","54159097","55939904","51230452","46862210","48872470","50959660","53694073","51968265","48380229","57400933","56102063","52385596","57660458","67212940","77684953","77424843","80226336","81537507","78852897","61907751","108216194","77118536","101269710","97288729","97610725","87450526","113054870","94838804","107352124","117767916","125195972","124249524","141107923","106562010","113237263","164528105","127080416","112730499","112084522","109276789","121531221","122781857","149004983","140993099","170771121","130475839","142589915","141540454","141707360","142639663"
"Austria","Excavated earthen materials (including soil) nec","Exports","EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Austria","Excavated earthen materials (including soil) nec","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Austria","Metal ores","Exports","EXP","t","1614730","1670911","1746591","1715215","2054411","2377455","2534376","2518734","1827730","2579347","2412491","2774123","2615513","2677001","3083896","3161277","2854217","3081651","3771043","3771858","3952290","3711189","3762648","3795306","4045452","4512113","3900698","4509135","6281867","5318749","5758405","6034064","6251077","6600771","7087863","7451147","7990379","8624688","8815886","6229654","7697925","8031598","7855068","7884016","8007101","7545664","7922405","4331192","4306644","4145968","4059844","4253402","4397788","4547828","4698444"
"Austria","Metal ores","Imports","IMP","t","2879173","3209540","2845342","3582167","4485502","3970602","4455992","4441796","4189975","5521272","5119581","5144548","4875331","3774450","5469639","5351145","5000643","5061402","6877030","7080687","7009797","7169566","7156864","6467103","7410452","7716905","7896925","3785655","4309464","3875350","4501018","4775820","4607987","10702041","11254557","12816626","14732548","16015857","14940742","11215143","15529968","16842230","16269508","14545218","12922174","13515705","14341471","13125105","5855770","5232456","4958154","5177647","5338982","5483822","5617170"
"Austria","Metal ores","Material Footprint (RMC)","MF","t","15365442","15809094","16313447","17404239","16961426","16523382","17953591","17626105","17626613","18489012","18489837","16114618","16631982","16680039","16702945","16965720","18476517","19418313","19221682","18366240","18911831","17952460","19866587","17597969","17277981","22291006","22585620","21871142","22549081","22686059","23097227","22817273","22666937","26404638","24090939","21534394","22923838","24004915","23182250","21341912","23567389","22760373","22287465","22162806","21431444","20310245","20715732","21342449","21500289","20995185","21109601","24692225","23871654","24926769","25543201"
"Azerbaijan","Excavated earthen materials (including soil) nec","Exports","EXP","t","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","Excavated earthen materials (including soil) nec","Imports","IMP","t","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
